avg_train_projected_errors,avg_val_projected_errors,epoch,error,step,train_loss,val_error,val_loss
,,0,0.040114160627126694,49,0.00011490708857309073,,
,,0,0.018977398052811623,99,6.237079651327804e-05,,
,,0,0.08074842393398285,149,4.6003126044524834e-05,,
,,0,0.2035038322210312,199,3.8854850572533906e-05,,
,,0,0.014030426740646362,249,4.0854829421732575e-05,,
,,0,0.05625637620687485,299,2.3836411855882034e-05,,
,,0,0.14743144810199738,349,4.968790744896978e-05,,
,,0,0.04252529516816139,399,4.362110121292062e-05,,
,,0,0.017469311133027077,449,4.798714508069679e-05,,
,,0,0.061378657817840576,499,4.713063390227035e-05,,
,,0,0.3598419725894928,549,3.334546272526495e-05,,
,,0,0.0312868095934391,599,4.307977724238299e-05,,
,,0,0.013236693106591702,649,2.958843469968997e-05,,
,,0,0.04478493705391884,699,2.4684981326572597e-05,,
,,0,0.11662495881319046,749,3.212535011698492e-05,,
,,0,0.09603175520896912,799,3.005508187925443e-05,,
,,0,0.010727877728641033,849,3.554976501618512e-05,,
,,0,0.04527928680181503,899,3.7752997741336e-05,,
,,0,0.02642999216914177,949,3.7755911762360483e-05,,
,,0,0.022355377674102783,999,2.349287569813896e-05,,
,,0,0.05037520453333855,1049,2.1677376935258508e-05,,
,,0,0.026140253990888596,1099,3.415250466787256e-05,,
,,0,0.01205537747591734,1149,2.5083953005378135e-05,,
,,0,0.017123857513070107,1199,2.9814686058671214e-05,,
,,0,0.032918669283390045,1249,3.062738323933445e-05,,
,,0,0.03626256808638573,1299,2.6399988200864755e-05,,
,,0,0.08399470895528793,1349,2.939748446806334e-05,,
,,0,0.02364737167954445,1399,3.398886474315077e-05,,
,,0,0.013745193369686604,1449,1.5078408978297375e-05,,
,,0,0.08268219232559204,1499,3.448529605520889e-05,,
,,0,0.028093447908759117,1549,2.1799045498482883e-05,,
,,0,0.034785203635692596,1599,2.286077506141737e-05,,
,,0,0.028104465454816818,1649,2.0533185306703672e-05,,
,,0,0.019005578011274338,1699,3.5594639484770596e-05,,
,,0,0.0164222102612257,1749,2.8618826036108658e-05,,
,,0,0.06411360949277878,1799,3.0631479603471234e-05,,
,,0,0.012823349796235561,1849,1.971346136997454e-05,,
,2.24546683878377,0,,1874,,2.245716094970703,0.00022187942522577941
0.37279240296407695,,0,,1874,,,
,,1,0.02393491566181183,1899,3.170681156916544e-05,,
,,1,0.050959400832653046,1949,4.214669388602488e-05,,
,,1,0.05976419150829315,1999,3.263596590841189e-05,,
,,1,0.0072259921580553055,2049,2.39469954976812e-05,,
,,1,0.005812312476336956,2099,3.591060158214532e-05,,
,,1,0.02435697615146637,2149,2.5654038836364634e-05,,
,,1,0.07986266911029816,2199,2.1645637389156036e-05,,
,,1,0.12128463387489319,2249,2.22132930502994e-05,,
,,1,0.06590007245540619,2299,1.894007800729014e-05,,
,,1,0.07853464037179947,2349,2.1618176106130704e-05,,
,,1,0.11822129040956497,2399,1.8694110622163862e-05,,
,,1,0.015045460313558578,2449,2.49102886300534e-05,,
,,1,0.011007311753928661,2499,3.909186489181593e-05,,
,,1,0.046914368867874146,2549,3.111986006842926e-05,,
,,1,0.1166795939207077,2599,3.535866198944859e-05,,
,,1,0.01262330450117588,2649,2.9041491870884784e-05,,
,,1,0.01586167886853218,2699,3.393049701116979e-05,,
,,1,0.0362430177628994,2749,3.123252099612728e-05,,
,,1,0.04140118509531021,2799,3.849549466394819e-05,,
