avg_train_projected_errors,avg_val_projected_errors,epoch,error,step,train_loss,val_error,val_loss
,,0,0.8270401954650879,49,7.627992454217747e-05,,
,,0,0.47363993525505066,99,0.0001032470099744387,,
,,0,0.08732488751411438,149,3.3485597668914124e-05,,
,,0,1.5489647388458252,199,2.2343765522236936e-05,,
,,0,1.512122392654419,249,3.9883729186840355e-05,,
,,0,0.4915163815021515,299,5.286829036776908e-05,,
,,0,1.0107289552688599,349,3.373124491190538e-05,,
,,0,0.4416041374206543,399,3.622062286012806e-05,,
,,0,0.4623708724975586,449,1.2035511645080987e-05,,
,,0,0.007607337087392807,499,1.5807105228304863e-05,,
,,0,0.5527746677398682,549,1.443099699827144e-05,,
,,0,0.6066126227378845,599,1.7200531146954745e-05,,
,,0,0.3149789273738861,649,2.404522820143029e-05,,
,,0,0.0100493049249053,699,1.1239366358495317e-05,,
,,0,0.08477449417114258,749,4.537178938335273e-06,,
,,0,0.026131032034754753,799,6.238896276045125e-06,,
,,0,0.03288375586271286,849,5.859392786078388e-06,,
,,0,0.032962992787361145,899,3.0298174351628404e-06,,
,,0,0.4568418264389038,949,2.9715520213358104e-06,,
,,0,0.49151045083999634,999,7.413621460727882e-06,,
,,0,0.01331455446779728,1049,2.7430091904534493e-06,,
,,0,0.04977407306432724,1099,5.6513017625547945e-06,,
,,0,0.020915765315294266,1149,1.0777088391478173e-05,,
,,0,0.11044309288263321,1199,3.909393399226246e-06,,
,,0,0.04408175125718117,1249,4.186776095593814e-06,,
,,0,0.13570599257946014,1299,5.361492185329553e-06,,
,,0,0.19010761380195618,1349,8.851884558680467e-06,,
,,0,0.04006879776716232,1399,7.916708455013577e-06,,
,,0,0.14252427220344543,1449,7.764507245155983e-06,,
,,0,0.6431061625480652,1499,5.913090717513114e-06,,
,,0,0.2847107946872711,1549,8.667828296893276e-06,,
,,0,0.16326062381267548,1599,1.000890915747732e-05,,
,0.06262798044138286,0,,1600,,0.06327575445175171,4.455330326891271e-06
115.48468807240071,,0,,1600,,,
,,1,0.10501430928707123,1649,4.0546901800553314e-06,,
,,1,0.01070436742156744,1699,2.6159648314205697e-06,,
,,1,0.20214354991912842,1749,1.0036492312792689e-05,,
,,1,0.08755087107419968,1799,4.493062533583725e-06,,
,,1,0.033497706055641174,1849,4.639681264961837e-06,,
