epoch,error,step,train_loss,val_loss
0,,7,,0.09044411778450012
1,,15,,0.08167210221290588
2,,23,,0.07397764921188354
3,,31,,0.06780653446912766
4,,39,,0.06362754851579666
5,,47,,0.0598742850124836
6,25.511333465576172,49,0.06049005687236786,
6,,55,,0.05629674717783928
7,,63,,0.05281651392579079
8,,71,,0.04930531606078148
9,,79,,0.04538653790950775
10,,87,,0.040295641869306564
11,,95,,0.03388524055480957
12,15.54879093170166,99,0.030867088586091995,
12,,103,,0.026931529864668846
13,,111,,0.02021506242454052
14,,119,,0.013903369195759296
15,,127,,0.008278867229819298
16,,135,,0.00403701001778245
17,,143,,0.0017181038856506348
18,4.455604076385498,149,0.0009722799295559525,
18,,151,,0.0010732646333053708
19,,159,,0.001077116234228015
20,,167,,0.001035954337567091
21,,175,,0.0009441279107704759
22,,183,,0.0008568218909204006
23,,191,,0.0008123235893435776
24,4.190667629241943,199,0.001573308720253408,
24,,199,,0.0007843911298550665
25,,207,,0.0007693007937632501
26,,215,,0.0007525690598413348
27,,223,,0.0007323614554479718
28,,231,,0.0007053905283100903
29,,239,,0.000670015113428235
30,,247,,0.0006519000162370503
31,4.638585090637207,249,0.0008625551126897335,
31,,255,,0.0006366287707351148
32,,263,,0.0006192658911459148
33,,271,,0.0006017711712047458
34,,279,,0.000585077446885407
35,,287,,0.0005706425872631371
36,,295,,0.0005558400880545378
37,1.3346638679504395,299,0.00046886096242815256,
37,,303,,0.0005440511158667505
38,,311,,0.0005299394833855331
39,,319,,0.0005143610178492963
40,,327,,0.000501011498272419
41,,335,,0.0004896551254205406
42,,343,,0.0004794410488102585
43,3.624187707901001,349,0.0005619056755676866,
43,,351,,0.0004675107484217733
44,,359,,0.00045545739703811705
45,,367,,0.00044527012505568564
46,,375,,0.0004354395205155015
47,,383,,0.0004252227954566479
48,,391,,0.0004162238910794258
49,2.121659517288208,399,0.00014321907656267285,
49,,399,,0.0004070904979016632
50,,407,,0.00039769045542925596
51,,415,,0.00038874635356478393
52,,423,,0.0003791607159655541
53,,431,,0.00037003084435127676
54,,439,,0.00036108633503317833
55,,447,,0.00035412164288572967
56,2.7421998977661133,449,0.0005246414802968502,
56,,455,,0.00034539625630714
57,,463,,0.0003360971459187567
58,,471,,0.0003298926749266684
59,,479,,0.0003227538545615971
60,,487,,0.0003142565838061273
61,,495,,0.0003068729711230844
62,2.7209224700927734,499,0.00017336478049401194,
62,,503,,0.00029815681045874953
63,,511,,0.0002910106850322336
64,,519,,0.0002833134203683585
65,,527,,0.00027560576563701034
66,,535,,0.00026939259259961545
67,,543,,0.00026465568225830793
68,6.268922328948975,549,0.00023676421551499516,
68,,551,,0.0002577499835751951
69,,559,,0.0002514840743970126
70,,567,,0.00024533417308703065
71,,575,,0.0002400868688710034
72,,583,,0.0002351487783016637
73,,591,,0.00022802279272582382
74,3.7324411869049072,599,5.4720116168027744e-05,
74,,599,,0.0002227851073257625
75,,607,,0.00021824771829415113
76,,615,,0.00021236207976471633
77,,623,,0.0002126443141605705
78,,631,,0.00020152659271843731
79,,639,,0.00019579041691031307
80,,647,,0.0001910029532155022
81,3.8095765113830566,649,0.00023874030739534646,
81,,655,,0.00018665901734493673
82,,663,,0.00018203581566922367
83,,671,,0.0001782080071279779
84,,679,,0.00017423809913452715
85,,687,,0.0001700106804491952
86,,695,,0.00016689109907019883
87,3.9267632961273193,699,0.00018607177480589598,
87,,703,,0.00016243655409198254
88,,711,,0.00015875283861532807
89,,719,,0.00015752161561977118
90,,727,,0.00015075865667313337
91,,735,,0.00014912195911165327
92,,743,,0.0001450991549063474
93,1.7376104593276978,749,9.862353908829391e-05,
93,,751,,0.00014075340004637837
94,,759,,0.00013748013589065522
95,,767,,0.00013555295299738646
96,,775,,0.0001306184276472777
97,,783,,0.0001275854156119749
98,,791,,0.00012531581160146743
99,0.8957001566886902,799,2.1548728909692727e-05,
99,,799,,0.00012301832612138242
100,,807,,0.00011947843449888751
101,,815,,0.000116889423225075
102,,823,,0.00011602987797232345
103,,831,,0.00011253689444856718
104,,839,,0.00010923862282652408
105,,847,,0.00010721518628997728
106,4.764077186584473,849,0.0001346202043350786,
106,,855,,0.00010374246630817652
107,,863,,0.00010248950275126845
108,,871,,9.959455928765237e-05
109,,879,,9.708901779958978e-05
110,,887,,9.599690383765846e-05
111,,895,,9.305770072387531e-05
112,2.6159300804138184,899,0.00010561775707174093,
112,,903,,9.119994501816109e-05
113,,911,,8.982322469819337e-05
114,,919,,8.952276402851567e-05
115,,927,,8.839819929562509e-05
116,,935,,8.440326928393915e-05
117,,943,,8.301110210595652e-05
118,0.5317744016647339,949,5.9158250223845243e-05,
118,,951,,8.108482143143192e-05
119,,959,,7.910012209322304e-05
120,,967,,7.968438876559958e-05
121,,975,,7.675064262002707e-05
122,,983,,7.660366100026295e-05
123,,991,,7.441250636475161e-05
124,5.8732123374938965,999,4.110649388167076e-05,
124,,999,,7.268489571288228e-05
125,,1007,,7.163894770201296e-05
126,,1015,,7.044152880553156e-05
127,,1023,,6.925548223080114e-05
128,,1031,,6.844013114459813e-05
129,,1039,,6.727131403749809e-05
130,,1047,,6.649897113675252e-05
131,11.459312438964844,1049,7.687468314543366e-05,
131,,1055,,6.613090954488143e-05
132,,1063,,6.433666567318141e-05
133,,1071,,6.451638910220936e-05
134,,1079,,6.301154644461349e-05
135,,1087,,6.221716466825455e-05
136,,1095,,6.158853648230433e-05
137,3.457157850265503,1099,0.00013021222548559308,
137,,1103,,6.083463813411072e-05
138,,1111,,6.0478138038888574e-05
139,,1119,,5.9902497014263645e-05
140,,1127,,5.8816112868953496e-05
141,,1135,,5.827256609336473e-05
142,,1143,,5.791028161183931e-05
143,5.789322376251221,1149,5.455835344037041e-05,
143,,1151,,5.882332698092796e-05
144,,1159,,5.650151797453873e-05
145,,1167,,5.729589975089766e-05
146,,1175,,5.564939056057483e-05
147,,1183,,5.509820402949117e-05
148,,1191,,5.47343552170787e-05
149,1.1695448160171509,1199,9.246795525541529e-05,
149,,1199,,5.496669837157242e-05
150,,1207,,5.497935489984229e-05
151,,1215,,5.331374632078223e-05
152,,1223,,5.2717547077918425e-05
153,,1231,,5.2295992645667866e-05
154,,1239,,5.1939186960225925e-05
155,,1247,,5.1411767344689e-05
156,3.995044469833374,1249,5.6628588936291635e-05,
156,,1255,,5.1060502300970256e-05
157,,1263,,5.102570867165923e-05
158,,1271,,5.0515474868007004e-05
159,,1279,,5.007226354791783e-05
160,,1287,,5.0095783080905676e-05
161,,1295,,4.974084367859177e-05
162,3.543773651123047,1299,3.57262251782231e-05,
162,,1303,,4.908259506919421e-05
163,,1311,,4.9097965529654175e-05
164,,1319,,4.8353340389439836e-05
165,,1327,,4.823267590836622e-05
166,,1335,,4.806575452676043e-05
167,,1343,,4.7557143261656165e-05
168,2.229717254638672,1349,2.9069553420413285e-05,
168,,1351,,4.709717904916033e-05
169,,1359,,4.735127367894165e-05
170,,1367,,4.6583565563196316e-05
171,,1375,,4.6293131163110957e-05
172,,1383,,4.6166205720510334e-05
173,,1391,,4.571471436065622e-05
174,0.8835207223892212,1399,3.164436066072085e-06,
174,,1399,,4.544419425656088e-05
175,,1407,,4.5210690586827695e-05
176,,1415,,4.491846266319044e-05
177,,1423,,4.46414269390516e-05
178,,1431,,4.455344605958089e-05
179,,1439,,4.445292506716214e-05
180,,1447,,4.396965596242808e-05
181,1.5749138593673706,1449,7.860944606363773e-05,
181,,1455,,4.359259037300944e-05
182,,1463,,4.337225982453674e-05
183,,1471,,4.354554766905494e-05
184,,1479,,4.2994670366169885e-05
185,,1487,,4.2632582335500047e-05
186,,1495,,4.233806612319313e-05
187,1.7197673320770264,1499,3.065487544517964e-05,
187,,1503,,4.214003274682909e-05
188,,1511,,4.422593701747246e-05
189,,1519,,4.148637526668608e-05
190,,1527,,4.2722334910649806e-05
191,,1535,,4.1124087147181854e-05
192,,1543,,4.158746014581993e-05
193,5.941662311553955,1549,4.1528550354996696e-05,
193,,1551,,4.067532790941186e-05
194,,1559,,4.023828296340071e-05
195,,1567,,4.0305647416971624e-05
196,,1575,,3.994815779151395e-05
197,,1583,,3.9645921788178384e-05
198,,1591,,3.944070704164915e-05
199,0.5734377503395081,1599,4.802504918188788e-06,
199,,1599,,3.9040471165208146e-05
200,,1607,,3.909807128366083e-05
201,,1615,,3.86108695238363e-05
202,,1623,,3.941388786188327e-05
203,,1631,,3.8243812014115974e-05
204,,1639,,3.8147627492435277e-05
205,,1647,,3.783675856539048e-05
206,0.612298846244812,1649,3.162960638292134e-05,
206,,1655,,3.779039980145171e-05
207,,1663,,3.722844485309906e-05
208,,1671,,3.7014615372754633e-05
209,,1679,,3.684709736262448e-05
210,,1687,,3.677996210171841e-05
211,,1695,,3.70184461644385e-05
212,1.2130566835403442,1699,3.119645771221258e-05,
212,,1703,,3.617705078795552e-05
213,,1711,,3.5987650335300714e-05
214,,1719,,3.6102057492826134e-05
215,,1727,,3.552075941115618e-05
216,,1735,,3.633768210420385e-05
217,,1743,,3.6503432056633756e-05
218,1.1043113470077515,1749,2.2845593775855377e-05,
218,,1751,,3.4923657949548215e-05
219,,1759,,3.553936767275445e-05
220,,1767,,3.454420584603213e-05
221,,1775,,3.435820326558314e-05
222,,1783,,3.418926280573942e-05
223,,1791,,3.390624624444172e-05
