epoch,error,step,train_loss,val_error,val_loss
0,1.090773582458496,49,0.00037455110577866435,,
0,0.42503485083580017,99,0.00010153305629501119,,
0,2.8712329864501953,149,8.404453546972945e-05,,
0,0.09960740059614182,199,6.134344585007057e-05,,
0,0.007093537598848343,249,5.076787783764303e-05,,
0,0.1661706119775772,299,1.8387339878245257e-05,,
0,0.19236335158348083,349,8.724302460905164e-06,,
0,0.3634992837905884,399,1.0439018296892755e-05,,
0,0.2330315113067627,449,4.25242160417838e-06,,
0,0.011118465103209019,499,1.8481257484381786e-06,,
0,0.14130784571170807,549,1.661982878431445e-06,,
0,0.010501421056687832,599,5.48001708011725e-06,,
0,0.022626584395766258,649,4.4042899389751256e-06,,
0,0.05257035791873932,699,3.174566700181458e-06,,
0,0.008221887983381748,749,2.513422941774479e-06,,
0,0.05458812043070793,799,8.439014891337138e-06,,
0,0.011515767313539982,849,1.503496150689898e-06,,
0,0.004586188588291407,899,2.2765721041650977e-06,,
0,0.1331499069929123,949,3.3394701404176885e-06,,
0,0.02367573045194149,999,3.5586565445555607e-06,,
0,0.025724653154611588,1049,3.575959453883115e-06,,
0,0.050375912338495255,1099,4.5190386117610615e-06,,
0,0.05114121362566948,1149,1.8809980701917084e-06,,
0,0.0029801458586007357,1199,8.610740223957691e-06,,
0,0.01407338585704565,1249,2.0826053059863625e-06,,
0,0.03237879276275635,1299,2.4510009097866714e-06,,
0,0.02441585622727871,1349,3.963260041928152e-06,,
0,0.1611763834953308,1399,1.7081428040910396e-06,,
0,0.03789373114705086,1449,3.6818432818108704e-06,,
0,0.005192376673221588,1499,2.151545231754426e-06,,
0,0.021493403241038322,1549,3.3690598684188444e-06,,
0,0.019223971292376518,1599,1.8095822724717436e-06,,
0,,1600,,0.13486872613430023,3.5498544548318023e-06
1,0.013009749352931976,1649,2.524500814615749e-06,,
1,0.16156962513923645,1699,3.0215403512556804e-06,,
1,0.001958283595740795,1749,2.639946160343243e-06,,
1,0.04266277328133583,1799,1.3020605820202036e-06,,
1,0.2565985918045044,1849,1.7089457742258674e-06,,
1,0.08079027384519577,1899,4.845233888772782e-06,,
1,0.006565711461007595,1949,2.196252353314776e-06,,
1,0.06711333990097046,1999,2.727518904066528e-06,,
1,0.005891411565244198,2049,1.7765087250154465e-06,,
1,0.013147919438779354,2099,1.3007150982957683e-06,,
1,0.06048746779561043,2149,2.6021955363830784e-06,,
1,0.0015252616722136736,2199,1.7183332374770544e-06,,
1,0.04578109830617905,2249,2.528968025217182e-06,,
1,0.0012379710096865892,2299,1.6832099163366365e-06,,
1,0.012743102386593819,2349,1.186028612210066e-06,,
1,0.163749560713768,2399,2.6471191176824505e-06,,
