epoch,error,step,train_loss
0,0.12304123491048813,49,1.327372274317895e-06
0,0.22146128118038177,99,6.702276778014493e-08
0,0.24616852402687073,149,5.72336233961579e-10
0,0.24360103905200958,199,3.4094363617065415e-14
0,0.24359312653541565,249,2.7391392105891033e-14
0,0.24357563257217407,299,5.908901840045999e-17
0,0.24357491731643677,349,5.2150124496552763e-17
0,0.24357672035694122,399,1.0072238182390336e-16
0,0.24357491731643677,449,5.2150124496552763e-17
0,0.24357491731643677,499,5.2150124496552763e-17
0,0.24357600510120392,549,1.0516761073109393e-17
0,0.24357491731643677,599,5.2150124496552763e-17
0,0.24357418715953827,649,3.2276698674893467e-16
0,0.24357563257217407,699,1.0516761073109393e-17
0,0.24357347190380096,749,4.754226526348937e-16
0,0.24357634782791138,799,7.296680620827445e-17
0,0.24357670545578003,849,3.7133924407628527e-16
0,0.24357743561267853,899,4.684837587309865e-16
0,0.24357308447360992,949,7.182839392716467e-16
0,0.2435716688632965,999,1.4954400565092563e-15
0,0.24357634782791138,1049,3.4358366846065636e-16
0,0.24357998371124268,1099,9.750230137162141e-16
0,0.24357526004314423,1149,7.296680620827445e-17
0,0.243577778339386,1199,1.7452402370499165e-15
0,0.24357205629348755,1249,3.861602877741621e-15
0,0.24357563257217407,1299,1.0516761073109393e-17
0,0.24357526004314423,1349,7.296680620827445e-17
0,0.24358175694942474,1399,4.3612032388229416e-15
0,0.24358032643795013,1449,1.9048347968397827e-15
0,0.2435842901468277,1499,6.3040935319169655e-15
0,0.24237428605556488,1549,1.6672357938674054e-10
0,0.3111497759819031,1599,4.701621207914286e-07
0,0.24872665107250214,1649,2.975792945392186e-09
0,0.24321116507053375,1699,1.596000588632851e-11
0,0.24356050789356232,1749,3.2116778854451855e-14
0,0.24357128143310547,1799,1.092984210082637e-15
0,0.2435695081949234,1849,5.221626082907438e-15
0,0.24348589777946472,1899,9.196915147849372e-13
0,0.27322304248809814,1949,9.239485621037602e-08
0,0.23727412521839142,1999,4.4360985995695046e-09
0,0.2429068684577942,2049,5.106560660439463e-11
0,0.24353884160518646,2099,1.3307768515630203e-13
0,0.2435791790485382,2149,1.3381765313902338e-14
0,0.2436130791902542,2199,1.860283845370181e-13
0,0.21680140495300293,2249,8.82277788605279e-08
0,0.2072109878063202,2299,1.7447436562179064e-07
0,0.2433849275112152,2349,5.32500085692611e-12
0,0.2434135377407074,2399,3.206868798288909e-12
