epoch,error,step,train_loss
0,1811.4483642578125,49,30.51462745666504
0,1811.623779296875,99,0.08254491537809372
0,1811.6124267578125,149,0.0005520710255950689
0,1811.611572265625,199,1.892587897600606e-05
0,1811.61181640625,249,8.614733815193176e-09
0,1811.61181640625,299,3.7834979593753815e-10
0,1811.61181640625,349,7.275957614183426e-12
0,1811.61181640625,399,7.275957614183426e-12
0,1811.61181640625,449,7.275957614183426e-12
0,1811.61181640625,499,7.275957614183426e-12
0,1811.61181640625,549,1.4551915228366852e-10
