epoch,error,step,train_loss
0,0.1908092051744461,49,4.075903689226834e-06
0,3.273809852544218e-05,99,8.897255376894009e-09
0,2.583096647867933e-05,149,1.7222656634174882e-10
0,1.2464487042507244e-07,199,1.1374310781436803e-12
0,3.648907564990367e-11,249,6.00325453410655e-15
0,3.3921819346527382e-12,299,4.881620281615984e-17
0,2.5151118167310305e-12,349,9.134403303190375e-18
0,2.4661275625781354e-12,399,1.043544591017298e-17
0,2.2355409624169598e-12,449,2.279535067650773e-17
0,3.6924573641738956e-12,499,1.6073297207097603e-17
0,2.5151118167310305e-12,549,9.134403303190375e-18
