epoch,error,step,train_loss,val_error,val_loss
0,3.321249485015869,49,9.504663466941565e-05,,
0,1.0639824867248535,99,5.3017625759821385e-05,,
0,0.04338706284761429,149,2.4127981305355206e-05,,
0,0.007970181293785572,199,1.0755305993370712e-05,,
0,0.3968006372451782,249,1.6771826267358847e-05,,
0,0.1659168154001236,299,4.537796485237777e-05,,
0,0.18286101520061493,349,7.266892680490855e-06,,
0,0.020860634744167328,399,1.304540546698263e-06,,
0,0.19592425227165222,449,7.172710866143461e-06,,
0,0.03772343695163727,499,5.9526983022806235e-06,,
0,0.144027441740036,549,3.784684849961195e-06,,
0,0.13183045387268066,599,3.947428922401741e-06,,
0,0.04387402907013893,649,4.971570888301358e-06,,
0,0.023281529545783997,699,1.7031727566063637e-06,,
0,0.1772392988204956,749,2.7212590794079006e-06,,
0,0.019331414252519608,799,1.9325741504871985e-06,,
0,0.027018288150429726,849,1.1931424523936585e-06,,
0,0.07026352733373642,899,1.8631938019098016e-06,,
0,0.20213335752487183,949,2.5544070467731217e-06,,
0,0.16426938772201538,999,7.196058959380025e-06,,
0,0.36035817861557007,1049,3.1811905500944704e-06,,
0,0.040927041321992874,1099,1.028655515256105e-05,,
0,0.0561712384223938,1149,3.2070893212221563e-06,,
0,0.3832731246948242,1199,5.2363229769980535e-06,,
0,0.10189951956272125,1249,4.371411250758683e-06,,
0,0.44518187642097473,1299,7.358046332228696e-06,,
0,0.2247268557548523,1349,4.555371560854837e-06,,
0,0.023309404030442238,1399,1.972461859622854e-06,,
0,0.019390679895877838,1449,2.6090053779626032e-06,,
0,0.8256803750991821,1499,7.229399670904968e-06,,
0,0.020730018615722656,1549,4.278898359189043e-06,,
0,0.8160215020179749,1599,5.7719662436284125e-06,,
0,,1600,,0.24242453277111053,8.862716640578583e-06
