epoch,error,step,train_loss
0,0.36718904972076416,49,2.491059058229439e-05
0,3.303877353668213,99,1.3648144658873207e-07
0,2.7356796264648438,149,6.788117290490447e-11
0,2.736419200897217,199,6.76838706609173e-12
0,2.7323920726776123,249,4.7702998235560345e-15
0,2.732468605041504,299,1.0389367317842346e-16
0,2.732487201690674,349,1.6290137641594704e-17
0,2.732487201690674,399,1.6290137641594704e-17
0,2.732487201690674,449,1.6290137641594704e-17
0,2.7324717044830322,499,1.4205758964991322e-16
